Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,japan,12,Pierre,Gasly,10,16,23,1:33.129
2023,japan,13,George,Russell,63,16,24,1:33.310
2023,japan,14,Nico,Hulkenberg,27,17,24,1:33.448
2023,japan,15,Esteban,Ocon,31,16,22,1:33.516
2023,japan,16,Lewis,Hamilton,44,16,22,1:33.699
2023,japan,17,Valtteri,Bottas,77,14,24,1:33.860
2023,japan,18,Kevin,Magnussen,20,17,23,1:33.975
2023,japan,19,Logan,Sargeant,2,16,27,1:34.212
2023,japan,20,Zhou,Guanyu,24,14,23,1:34.831
2023,qatar,1,Max,Verstappen,1,16,26,1:27.428
2023,qatar,2,Carlos,Sainz,55,8,27,1:27.762
2023,qatar,3,Charles,Leclerc,16,8,27,1:27.909
2023,qatar,4,Fernando,Alonso,14,16,28,1:27.919
2023,qatar,5,Sergio,Perez,11,16,24,1:28.016
2023,qatar,6,Yuki,Tsunoda,22,8,28,1:28.027
2023,qatar,7,Nico,Hulkenberg,27,17,22,1:28.171
2023,qatar,8,George,Russell,63,16,28,1:28.336
2023,qatar,9,Oscar,Piastri,81,16,20,1:28.380
2023,qatar,10,Lando,Norris,4,16,24,1:28.441
2023,qatar,11,Logan,Sargeant,2,16,25,1:28.550
2023,qatar,12,Alexander,Albon,23,16,26,1:28.590
2023,qatar,13,Lewis,Hamilton,44,16,26,1:28.679
2023,qatar,14,Lance,Stroll,18,16,28,1:28.690
2023,qatar,15,Esteban,Ocon,31,16,25,1:28.732
2023,qatar,16,Pierre,Gasly,10,16,23,1:28.821
2023,qatar,17,Valtteri,Bottas,77,14,27,1:29.041
2023,qatar,18,Zhou,Guanyu,24,14,29,1:29.106
2023,qatar,19,Liam,Lawson,40,8,29,1:29.238
2023,qatar,20,Kevin,Magnussen,20,17,26,1:29.502
2023,united-states,1,Max,Verstappen,1,16,23,1:35.912
2023,united-states,2,Charles,Leclerc,16,8,25,1:36.068
2023,united-states,3,Lewis,Hamilton,44,16,23,1:36.193
2023,united-states,4,Sergio,Perez,11,16,23,1:36.212
2023,united-states,5,Kevin,Magnussen,20,17,21,1:36.472
2023,united-states,6,George,Russell,63,16,25,1:36.474
2023,united-states,7,Alexander,Albon,23,16,21,1:36.492
2023,united-states,8,Carlos,Sainz,55,8,24,1:36.533
2023,united-states,9,Nico,Hulkenberg,27,17,21,1:36.702
2023,united-states,10,Pierre,Gasly,10,16,22,1:36.705
2023,united-states,11,Logan,Sargeant,2,16,26,1:36.987
2023,united-states,12,Esteban,Ocon,31,16,22,1:37.066
2023,united-states,13,Yuki,Tsunoda,22,8,25,1:37.104
2023,united-states,14,Daniel,Ricciardo,3,8,24,1:37.152
2023,united-states,15,Lando,Norris,4,16,21,1:37.256
2023,united-states,16,Zhou,Guanyu,24,14,25,1:37.418
2023,united-states,17,Valtteri,Bottas,77,14,24,1:37.517
2023,united-states,18,Fernando,Alonso,14,16,19,1:37.840
2023,united-states,19,Oscar,Piastri,81,16,22,1:38.420
2023,united-states,20,Lance,Stroll,18,16,5,1:39.940
2023,mexico,1,Max,Verstappen,1,16,29,1:19.718
2023,mexico,2,Alexander,Albon,23,16,31,1:19.813
2023,mexico,3,Sergio,Perez,11,16,28,1:20.015
2023,mexico,4,Lando,Norris,4,16,30,1:20.237
2023,mexico,5,Charles,Leclerc,16,8,30,1:20.297
2023,mexico,6,Oscar,Piastri,81,16,32,1:20.463
2023,mexico,7,Carlos,Sainz,55,8,23,1:20.479
2023,mexico,8,Daniel,Ricciardo,3,8,30,1:20.568
2023,mexico,9,Esteban,Ocon,31,16,26,1:20.677
2023,mexico,10,Lance,Stroll,18,16,26,1:20.687
2023,mexico,11,Lewis,Hamilton,44,16,25,1:20.724
2023,mexico,12,Nico,Hulkenberg,27,17,29,1:20.968
2023,mexico,13,Zhou,Guanyu,24,14,27,1:21.129
2023,mexico,14,Logan,Sargeant,2,16,30,1:21.157
2023,mexico,15,Oliver,Bearman,50,17,31,1:21.313
2023,mexico,16,Fernando,Alonso,14,16,17,1:21.347
2023,mexico,17,Isack,Hadjar,41,8,25,1:21.941
2023,mexico,18,Jack,Doohan,61,16,25,1:22.109
2023,mexico,19,Frederik,Vesti,42,16,26,1:22.937
2023,mexico,20,Theo,Pourchaire,98,14,4,
2023,brazil,1,Carlos,Sainz,55,8,30,1:11.732
2023,brazil,2,Charles,Leclerc,16,8,32,1:11.840
2023,brazil,3,George,Russell,63,16,31,1:11.865
2023,brazil,4,Nico,Hulkenberg,27,17,19,1:11.928
2023,brazil,5,Alexander,Albon,23,16,28,1:12.044
2023,brazil,6,Lance,Stroll,18,16,26,1:12.136
2023,brazil,7,Pierre,Gasly,10,16,31,1:12.184
2023,brazil,8,Zhou,Guanyu,24,14,27,1:12.481
2023,brazil,9,Logan,Sargeant,2,16,30,1:12.579
2023,brazil,10,Kevin,Magnussen,20,17,24,1:12.592
2023,brazil,11,Fernando,Alonso,14,16,28,1:12.615
2023,brazil,12,Lewis,Hamilton,44,16,30,1:12.638
2023,brazil,13,Yuki,Tsunoda,22,8,29,1:12.714
2023,brazil,14,Daniel,Ricciardo,3,8,27,1:12.778
2023,brazil,15,Esteban,Ocon,31,16,30,1:12.779
2023,brazil,16,Max,Verstappen,1,16,30,1:12.793
2023,brazil,17,Valtteri,Bottas,77,14,31,1:13.012
2023,brazil,18,Sergio,Perez,11,16,31,1:13.056
2023,brazil,19,Lando,Norris,4,16,25,1:13.629
2023,brazil,20,Oscar,Piastri,81,16,28,1:13.838
